Title,Publication,Bit,Quantizer,Finetune,Task,Special
Similarity Preserving Deep Asymmetric Quantization for Image Retrieval,AAAI 2019,,,QAT,Image Retrieval,
RBCN: Rectified Binary Convolutional Networks for Enhancing the Performance of 1-bit DCNNs,CoRR 2019,B,,,,
TentacleNet: A Pseudo-Ensemble Template for Accurate Binary Convolutional Neural Networks,CoRR 2019,B,,,,
Improved training of binary networks for human pose estimation and image recognition,CoRR 2019,B,,,,
Binarized Neural Architecture Search,CoRR 2019,,,,,
Matrix and tensor decompositions for training binary neural networks,CoRR 2019,,,,,
Back to Simplicity: How to Train Accurate BNNs from Scratch?,CoRR 2019,,,,,
MoBiNet: A Mobile Binary Network for Image Classification,arXiv 2019,,,,,
Training high-performance and large-scale deep neural networks with full 8-bit integers,arXiv 2019,,,,,
Knowledge distillation for optimization of quantized deep neural networks,arXiv 2019,,,,,
Accurate and compact convolutional neural networks with trained binarization,arXiv 2019,,,,,
Mixed precision training with 8-bit floating point,arXiv 2019,,,,,
Additive powers-of-two quantization: An efficient nonuniform discretization for neural networks,arXiv 2019,,,,,
Regularizing activation distribution for training binarized deep networks:fire:61,arXiv 2019,,,,,
The knowledge within: Methods for data-free model compression:fire:50,arXiv 2019,,,,,
Xnornet++: Improved binary neural networks,arXiv 2019,,,,,
Mixed Precision Quantization of ConvNets via Differentiable Neural Architecture Search,arXiv 2019,,,,,
QKD: Quantization-aware Knowledge Distillation,arXiv 2019,,,,,
daBNN: A Super Fast Inference Framework for Binary Neural Networks on ARM devices,arXiv 2019,,,,,
Towards Unified INT8 Training for Convolutional Neural Network,arXiv 2019,,,,,
BNN+: Improved Binary Network Training:fire:72,arXiv 2019,,,,,
Learned Step Size Quantization:fire:129,arXiv 2019,MP,LQ,QAT,C,
"Same, Same But Different: Recovering Neural Network Quantization Error Through Weight Factorization",arXiv 2019,Uni,Linear,PTQ,C,
An Energy-Efficient Architecture for Binary Weight Convolutional Neural Networks,TVLSI 2018,,,,,
FINN-R: An End-to-End Deep-Learning Framework for Fast Exploration of Quantized Neural Networks,TRETS 2018,,,,,
Inference of quantized neural networks on heterogeneous all-programmable devices,NE 2018,,,,,
A Deep Look into Logarithmic Quantization of Model Parameters in Neural Networks,IAIT 2018,,,,,
Deterministic Binary Filters for Convolutional Neural Networks,IJCAI 2018,,,,,
Planning in Factored State and Action Spaces with Learned Binarized Neural Network Transition Models,IJCAI 2018,,,,,
A Quantization-Friendly Separable Convolution for MobileNets,EMC2 2018,,,,,
Moonshine: Distilling with cheap convolutions,NeurIPS 2018,,,,,
A Linear Speedup Analysis of Distributed Deep Learning with Sparse and Quantized Communication:fire:104,NeurIPS 2018,,,,,
GradiVeQ: Vector Quantization for Bandwidth-Efficient Gradient Aggregation in Distributed CNN Training,NeurIPS 2018,,PQ,,C,
Heterogeneous Bitwidth Binarization in Convolutional Neural Networks,NeurIPS 2018,MP,,,C,
HitNet: Hybrid Ternary Recurrent Neural Network,NeurIPS 2018,T/Uni,,,N,Stochastic
Scalable methods for 8-bit training of neural networks:fire:151[PyTorch]:star:191,NeurIPS 2018,Uni,,,C,
Training Deep Neural Networks with 8-bit Floating Point Numbers:fire:213,NeurIPS 2018,Uni,,,C,Stochastic
A survey of FPGA-based accelerators for convolutional neural networks,NCA 2018,,,,,
BitStream: Efficient Computing Architecture for Real-Time Low-Power Inference of Binary Neural Networks on CPUs,MM 2018,,,,,
FBNA: A Fully Binarized Neural Network Accelerator,FPL 2018,,,,,
Bi-real net: Enhancing the performance of 1-bit cnns with improved representational capability and advanced training algorithm:fire:222[Caffe&pytorch]:star:138,ECCV 2018,B,,,,
LQ-Nets: Learned Quantization for Highly Accurate and Compact Deep Neural Networks:fire:325[PyTorch]:star:207,ECCV 2018,B/Uni,LQ,QAT,C,
LSQ++: Lower running time and higher recall in multi-codebook quantization,ECCV 2018,MP,LQ,,C,
Learning Compression from limited unlabeled Data,ECCV 2018,Uni,,,C,
Product Quantization Network for Fast Image Retrieval,ECCV 2018,Uni,PQ,,Image Retrieval,
Quantization Mimic: Towards Very Tiny CNN for Object Detection:fire:55,ECCV 2018,Uni,,,O,
Quantized Densely Connected U-Nets for Efficient Landmark Localization:fire:105,ECCV 2018,,,,,
TBN: Convolutional Neural Network with Ternary Inputs and Binary Weights:fire:57,ECCV 2018,,,,,
Training Binary Weight Networks via Semi-Binary Decomposition,ECCV 2018,,,,,
Value-aware Quantization for Training and Inference of Neural Networks:fire:75,ECCV 2018,,,,,
Gap-8: A risc-v soc for ai at the edge of the iot,ASAP 2018,,,,,
Distilled binary neural network for monaural speech separation,IJCNN 2018,,,,,
Fast object detection based on binary deep convolution neural networks,IJCNN 2018,,,,,
Analysis and Implementation of Simple Dynamic Binary Neural Networks,IJCNN 2018,,,,,
SIGNSGD: compressed optimisation for non-convex problems:fire:393[PyTorch]:star:54,ICML 2018,,,,,Gradient
Quantization of Fully Convolutional Networks for Accurate Biomedical Image Segmentation:fire:59,CVPR 2018,,,,,
Explicit loss-error-aware quantization for low-bit deep neural networks:fire:67,CVPR 2018,,,,,
A biresolution spectral framework for product quantization,CVPR 2018,,,,,
Amc: Automl for model compression and acceleration on mobile devices:fire:814,CVPR 2018,,,,,
Effective Training of Convolutional Neural Networks with Low-bitwidth Weights and Activations,CVPR 2018,,,,,
Modulated convolutional networks,CVPR 2018,B,,,,
Quantization and Training of Neural Networks for Efficient Integer-Arithmetic-Only Inference:fire:1013,CVPR 2018,,,,,
SYQ: Learning Symmetric Quantization For Efficient Deep Neural Networks:fire:84[PyTorch]:star:31,CVPR 2018,T,,,,
Towards Effective Low-bitwidth Convolutional Neural Networks:fire:121,CVPR 2018,,,QAT,,
Two-Step Quantization for Low-bit Neural Networks:fire:72,CVPR 2018,,,,,
CLIP-Q: Deep Network Compression Learning by In-parallel Pruning-Quantization:fire:165,CVPR 2018,,,,,
BitFlow: Exploiting Vector Parallelism for Binary Neural Networks on CPU,IPDPS 2018,,,,,
Mixed Precision Training of Convolutional Neural Networks using Integer Operations:fire:117,ICLR 2018,,,,,
An empirical study of binary neural networks’ optimisation,ICLR 2018,,,,,
Adaptive Quantization of Neural Networks,ICLR 2018,,,,,
Alternating Multi-bit Quantization for Recurrent Neural Networks:fire:87,ICLR 2018,,,,,
Apprentice: Using Knowledge Distillation Techniques To Improve Low-Precision Network Accuracy:fire:208,ICLR 2018,,,,,
Energy-Constrained Compression for Deep Neural Networks via Weighted Sparse Projection and Layer Input Masking[PyTorch]:star:15,ICLR 2018,,,,,CoDesign
Loss-aware Weight Quantization of Deep Networks:fire:94,ICLR 2018,,,,,
Model compression via distillation and quantization:fire:353[PyTorch]:star:293,ICLR 2018,,,,,
Training and Inference with Integers in Deep Neural Networks:fire:231[[tensorflow]]:star:132,ICLR 2018,,,,,
Variational Network Quantization:fire:58,ICLR 2018,,,,,
WRPN: Wide Reduced-Precision Networks:fire:180,ICLR 2018,,,,,
Adaptive Quantization for Deep Neural Networ:fire:70,AAAI 2018,,,,,
Deep Neural Network Compression with Single and Multiple Level Quantization:fire:65[PyTorch]:star:20,AAAI 2018,,,,,
Distributed Composite Quantization,AAAI 2018,,,,,
Extremely Low Bit Neural Network: Squeeze the Last Bit Out with ADMM:fire:207,AAAI 2018,,,,,
From Hashing to CNNs: Training Binary Weight Networks via Hashing:fire:62,AAAI 2018,B,,,,
Product Quantized Translation for Fast Nearest Neighbor Search,AAAI 2018,,,,,
Quantized Memory-Augmented Neural Networks,AAAI 2018,,,,,
ReBNet: Residual Binarized Neural Network,ISFPCCM 2018,,,,,
LightNN: Filling the Gap between Conventional Deep Neural Networks and Binarized Networks,CoRR 2018,,,,,
BinaryRelax: A Relaxation Approach For Training Deep Neural Networks With Quantized Weights,CoRR 2018,,,,,
Learning low precision deep neural networks through regularization,arXiv 2018,,,,,
Blended coarse gradient descent for full quantization of deep neural networks:fire:48,arXiv 2018,,,,,
XNOR Neural Engine: A Hardware Accelerator IP for 21.6-fJ/op Binary Neural Network Inference:fire:72,arXiv 2018,,,,,
A Survey on Methods and Theories of Quantized Neural Networks:fire:128,arXiv 2018,,,,,
Quantizing Convolutional Neural Networks for Low-Power High-Throughput Inference Engines,arXiv 2018,,,,,
Discovering low-precision networks close to full-precision networks for efficient embedded inference:fire:83,arXiv 2018,,,,,
On periodic functions as regularizers for quantization of neural networks,arXiv 2018,,,,,
Rethinking floating point for deep learning:fire:95,arXiv 2018,,,,,
Quantizing deep convolutional networks for efficient inference: A whitepaper:fire:425,arXiv 2018,,,,,
Quantization for rapid deployment of deep neural networks,arXiv 2018,,,,,
Simultaneously optimizing weight and quantizer of ternary neural network using truncated gaussian approximation,arXiv 2018,,,,,
Uniq: Uniform noise injection for non-uniform quantization of neural networks,arXiv 2018,,,,,
Training Competitive Binary Neural Networks from Scratch,arXiv 2018,,,,,
Joint Neural Architecture Search and Quantization,arXiv 2018,,,,,
BinaryRelax: A Relaxation Approach For Training Deep Neural Networks With Quantized Weights:fire:55,arXiv 2018,,,,,
Dorefa-net: Training low bitwidth convolutional neural networks with low bitwidth gradients:fire:1209[PyTorch],arXiv 2018,Uni,,,,
Espresso: Efficient Forward Propagation for BCNNs,arXiv 2018,,,,,CoDesign
Mixed Precision Training:fire:601,arXiv 2018,Uni,,,,
PACT: Parameterized Clipping Activation for Quantized Neural Networks:fire:341,arXiv 2018,,,,,
Terngrad: Ternary gradients to reduce communication in distributed deep learning:fire:649,NeurIPS 2017,,,,,
QSGD: Communication-Efficient SGD via Gradient Quantization and Encoding:fire:696,NeurIPS 2017,,,,,Gradient
Towards Accurate Binary Convolutional Neural Network:fire:193[TensorFlow]:star:49,NeurIPS 2017,B,,,,
Training Quantized Nets: A Deeper Understanding:fire:134,NeurIPS 2017,,,,,
Learning Accurate Low-Bit Deep Neural Networks with Stochastic Quantization[Caffe],BMVC 2017,,,,,
Performance guaranteed network acceleration via high-order residual quantization,ICCV 2017,,,,,
Binarized Convolutional Landmark Localizers for Human Pose Estimation and Face Alignment with Limited Resources:fire: 130[PyTorch]:star:207,ICCV 2017,B,,,,
Performance Guaranteed Network Acceleration via High-Order Residual Quantization:fire:55,ICCV 2017,,,,,
Binary Deep Neural Networks for Speech Recognition,Interspeech 2017,B,,,,
Ternary neural networks for resource-efficient AI applications,IJCNN 2017,,,,,
Fixed-point optimization of deep neural networks with adaptive step size retraining,ICASSP 2017,MP,,,,
Deep Learning with Low Precision by Half-wave Gaussian Quantization:fire:288[Caffe]:star:118,CVPR 2017,,,,,
Fixed-point Factorized Networks,CVPR 2017,T,,,,Factor
Local Binary Convolutional Neural Networks:star:94:fire:156,CVPR 2017,,,,,
Network Sketching: Exploiting Binary Structure in Deep CNNs:fire:71,CVPR 2017,B,,,,
Weighted-Entropy-Based Quantization for Deep Neural Networks:fire:144,CVPR 2017,,Non,,,
A GPU-Outperforming FPGA Accelerator Architecture for Binary Convolutional Neural Networks,DC 2017,B,,,,CoDesign
On-Chip Memory Based Binarized Convolutional Deep Neural Network Applying Batch Normalization Free Technique on an FPGA,IPDPSW 2017,,,,,CoDesign
Incremental Network Quantization: Towards Lossless CNNs with Low-Precision Weights:fire:607[PyTorch]:star:181,ICLR 2017,T/Uni,Log,QAT,C,
Learning Discrete Weights Using the Local Reparameterization Trick:fire:61,ICLR 2017,,,,,Stochastic
Loss-aware Binarization of Deep Networks:fire:119[PyTorch]:star:18,ICLR 2017,B,,,,
Soft Weight-Sharing for Neural Network Compression:fire:222:star:18,ICLR 2017,B,,,,
Towards the Limit of Network Quantization:fire:114,ICLR 2017,Uni,,,,
"FINN: A Framework for Fast, Scalable Binarized Neural Network Inference:fire:463",FPGA 2017,B,,,,
How to train a compact binary neural network with high accuracy?:fire:205,AAAI 2017,,,,,
Adaptive Quantization for Deep Neural Network:fire:67,AAAI 2017,MP,,,,
The high-dimensional geometry of binary neural networks,CoRR 2017,,,,,
BMXNet: An Open-Source Binary Neural Network Implementation Based on MXNet,CoRR 2017,,,,,
Deep learning binary neural network on an FPGA,arXiv 2017,B,,,,
FP-BNN: Binarized neural network on FPGA:126:,arXiv 2017,B,,,,CoDesign
Accelerating Deep Convolutional Networks using low-precision and sparsity:fire:111,arXiv 2017,T,,,,
Bit-regularized optimization of neural nets,arXiv 2017,,,,,
Balanced Quantization: An Effective and Efficient Approach to Quantized Neural Networks,arXiv 2017,,,,,
Learning deep binary descriptor with multi-quantization:fire:97,arXiv 2017,,,,,
Gxnor-net: Training deep neural networks with ternary weights and activations without full-precision memory under a unified discretization framework,arXiv 2017,,,,,
Soft-to-hard vector quantization for end-to-end learning compressible representations,arXiv 2017,,,,,
ShiftCNN: Generalized Low-Precision Architecture for Inference of Convolutional Neural Networks[TensorFlow]:star:53,arXiv 2017,,,,,
Ternary Neural Networks with Fine-Grained Quantization:fire:71,arXiv 2017,T,,,,
Trained Ternary Quantization:fire:734,arXiv 2017,T,,,,
Decision making with quantized priors leads to discrimination,JPROC 2016,,,,,
Communication quantization for data-parallel training of deep neural networks:fire:130,MLHPC 2016,,,,,
XNOR-Net: ImageNet Classification Using Binary Convolutional Neural Networks:fire:3469[PyTorch]:star:807,ECCV 2016,B,,,,
Overcoming challenges in fixed point training of deep convolutional networks,ICMLW 2016,,,,,
Fixed point quantization of deep convolutional networks:fire:696,ICML 2016,,,,,
"Deep Compression: Compressing Deep Neural Networks with Pruning, Trained Quantization and Huffman Coding:fire:5045",CVPR 2016,,,,,
Quantized convolutional neural networks for mobile devices:fire:270,CVPR 2016,,,,,
Fixed-point Performance Analysis of Recurrent Neural Networks:fire:67,arXiv 2016,,,,,
Qsgd: Randomized quantization for communication-optimal stochastic gradient descent:fire:801,arXiv 2016,,,,,
Effective quantization methods for recurrent neural networks:fire:62,arXiv 2016,,,,,
Sigma delta quantized networks,arXiv 2016,,,,,
Recurrent neural networks with limited numerical precision:fire:65,arXiv 2016,,,,,
Training bit fully convolutional network for fast semantic segmentation,arXiv 2016,,,,,
Quantized Neural Networks: Training Neural Networks with Low Precision Weights and Activations:fire:1347,arXiv 2016,,,,,
Convolutional neural networks using logarithmic data representation:fire:320,arXiv 2016,,,,,
Layer normalization:fire:4125,arXiv 2016,,,,,
Binarized Neural Networks on the ImageNet Classification Task,arXiv 2016,B,,,,
Binarized Neural Networks: Training Neural Networks with Weights and Activations Constrained to +1 or −1:fire:1574[PyTorch]:star:252,arXiv 2016,B,,,,
Deep neural networks are robust to weight binarization and other non-linear distortions:fire:77,arXiv 2016,,,,,
Neural Networks with Few Multiplications:fire:258[PyTorch]:star:81,arXiv 2016,T,,,,
Ternary weight networks:fire:647[Caffe]:star:63,arXiv 2016,T,,,,
Batch normalization: Accelerating deep network training by reducing internal covariate shift:fire:32893,PMLR 2015,,,,,
BinaryConnect: Training Deep Neural Networks with binary weights during propagations:fire:2267[PyTorch]:star:344,NeurIPS 2015,B,,,,
Bitwise Neural Networks:fire:191,ICML 2015,B,,,,
Compressing neural networks with hashing trick:fire:887,ICML 2015,,,,,
Deep Learning with Limited Numerical Precision:fire:1378,ICML 2015,Uni,,,,
Fixed point optimization of deep convolutional neural networks for object recognition:fire:226,ICASSP 2015,,,,,
8-Bit Approximations for Parallelism in Deep Learning:fire:114,ICLR 2015,,,,,
Training deep neural networks with low precision multiplications:fire:498,ICLR 2015,,,,,
Rounding methods for neural networks with low resolution synaptic weights,arXiv 2015,,,,,
Training Binary Multilayer Neural Networks for Image Classification using Expectation Backpropagation:fire:50,arXiv 2015,,,,,
Resiliency of Deep Neural Networks under quantizations:fire:123,arXiv 2015,,,,,
"Fixed-point feedforward deep neural network design using weights +1, 0, and −1:fire:269",SiPS 2014,,,,,
Expectation Backpropagation: Parameter-Free Training of Multilayer Neural Networks with Continuous or Discrete Weights:fire:190,NeurIPS 2014,,,,,Stochastic
1-bit stochastic gradient descent and its application to data-parallel distributed training of speech dnns:fire:679,Interspeech 2014,,,,,
Compressing deep convolutional networks using vector quantization:fire:981,arXiv 2014,,,,,
Lowrank matrix factorization for deep neural network training with high-dimensional output targets:fire:563,ICASSP 2013,,,,,
Estimating or propagating gradients through stochastic neurons for conditional computation:fire:1346,arXiv 2013,,,,,
Product quantization for nearest neighbor search:fire:2268,TPAMI 2010,,,,,
An introduction to natural computation:fire:309,MITPress 1999,,,,,
